Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
0.00020694732666015625,0.0,0.0,0.0,-0.5749872579001019,0.03384620285423037,0.8039468654434251
0.004240751266479492,0.0,0.0,0.0,-0.5749872579001019,0.03384620285423037,0.8039468654434251
0.008909940719604492,0.0,0.0,0.0,-0.5749872579001019,0.03384620285423037,0.8039468654434251
0.012845039367675781,0.0,0.0,0.0,-0.5749872579001019,0.03384620285423037,0.8039468654434251
0.01752924919128418,0.0,0.0,0.0,-0.5749872579001019,0.03384620285423037,0.8039468654434251
0.021969318389892578,0.0,0.0,0.0,-0.5749872579001019,0.03384620285423037,0.8039468654434251
0.026415348052978516,0.0,0.0,0.0,-0.5749872579001019,0.03384620285423037,0.8039468654434251
0.02980208396911621,0.0,0.0,0.0,-0.5749872579001019,0.03384620285423037,0.8039468654434251
0.034828901290893555,0.0,-0.11190581936148891,0.0,-0.5749872579001019,0.03384620285423037,0.8039468654434251
0.04138827323913574,0.0,-0.11190581936148891,0.0,-0.5749872579001019,0.03384620285423037,0.8039468654434251
0.04436612129211426,0.0,-0.11190581936148891,0.0,-0.5749872579001019,0.03384620285423037,0.8039468654434251
0.048738718032836914,0.0,-0.11190581936148891,0.0,-0.5749872579001019,0.03384620285423037,0.8039468654434251
0.05266308784484863,0.0,-0.11190581936148891,0.0,-0.5749872579001019,0.03384620285423037,0.8039468654434251
0.057282209396362305,0.0,-0.11190581936148891,0.0,-0.5749872579001019,0.03384620285423037,0.8039468654434251
0.0619349479675293,0.0,-0.11190581936148891,0.0,-0.5789691641182466,0.03384620285423037,0.8039468654434251
0.06960558891296387,0.0,-0.11190581936148891,0.0,-0.5789691641182466,0.03384620285423037,0.8039468654434251
0.07280230522155762,0.0,-0.11190581936148891,0.0,-0.5789691641182466,0.03384620285423037,0.8039468654434251
0.07690930366516113,0.0,-0.11190581936148891,0.0,-0.5789691641182466,0.03384620285423037,0.8039468654434251
0.08131718635559082,0.0,-0.11190581936148891,0.0,-0.5789691641182466,0.03384620285423037,0.8039468654434251
0.08807659149169922,0.11190581936148891,-0.11190581936148891,0.11190581936148891,-0.5789691641182466,0.03384620285423037,0.8039468654434251
0.09217143058776855,0.11190581936148891,-0.11190581936148891,0.11190581936148891,-0.5749872579001019,0.03384620285423037,0.8039468654434251
